Player Name,Rating,Profile Link
"Abrera, Rhandy",1035,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=186319
"Agarwal, Kiaan",185,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=187270
"Anandan, Advaith",276,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=188910
"Au, Kenny",2128,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=111524
"Au, Kevin Duong",2026,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=12070
"Bagga, Jasmeet",1091,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=174880
"Bagga, Samar",150,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=179028
"Banerjee, Sampurna",274,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=177884
"Bhaidasna, Praful",1913,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=14155
"Bharadwaj, Sudhanva",1879,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=81586
"Bikkina, Kethan",835,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=171694
"Bikkina, Raghav",1794,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=149057
"Boyea, Christopher",1365,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=173337
"Chakraborty, Swagato",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=192656
"Chakraborty, Vihaan",823,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=182714
"Chandra, Aarya",164,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=7574
"Danivas, Sumukh",157,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=185975
"Deepak, Hasini",1362,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=157947
"Desai, Samvit",1260,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=181511
"Dillibabu, Diya",638,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=180542
"Douglas, Derron",2294,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=102076
"Ferrandiz, Josep",327,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=185365
"Gass, Vincent",334,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=187315
"Gianfermo, Donato",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=191640
"Gulrajani, Arjun",161,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=189111
"Haardt, Gregory",1574,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=158269
"Howard, Jacob",261,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=179630
"Iyengar, Vinuta",1470,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=189984
"Janowiak, Waylon",174,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=191647
"Joshi, Ojas",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=191651
"Khandelwal, Yashvi",1047,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=181502
"Kharatmal, Rugved",160,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=8350
"Kirsur, Nikhil",213,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=171424
"Krishna, Aadya",100,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=178193
"Krishna, Atharv",136,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=176806
"Kundu, Aaryash",264,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=188686
"Kuo, Sean",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=162871
"Lawrence-Vieira, Ryker",340,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=167492
"Li, Marcus",422,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=184948
"Lin, Jessie",1338,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=179705
"Ma, Tianyue",2395,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=127493
"Malkin, Debbie",1347,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=101266
"Maniam, Arnav R",166,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=181975
"Mckinley, Robert",1426,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=188789
"Menon, Anoop",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=192192
"Menon, Ishan",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=192231
"Mistry, Achal",291,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=179587
"Mohan, Ayaan",1549,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=180568
"Nivin, Evaan",322,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=182701
"Olaivar, Oliver",1169,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=185774
"Pakala, Ruhaan",1612,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=176641
"Pandey, Rishabh",188,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=187090
"Pasam, Srinandan",439,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=188296
"Patel, Rudra",100,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=177086
"Prasun, Reyaan",202,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=188543
"Qi, Kevin",329,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=180549
"Ramamurthi, Shrinidi",203,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=183857
"Ramirez, Michael S",1634,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=179882
"Rathinam, Dillibabu",162,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=188305
"Reddy, Raghavender",604,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=127409
"Reddy, Rishan",96,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=186665
"Sanghavi, Vihaan",102,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=186996
"Saraswathi, Naitri Adhya",167,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=185137
"Saraswathi, Sreedhar Aditya",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=191333
"Shankar, Dhruv",150,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=189458
"Shodhan, Shashin",2299,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=59686
"Shyam, Aradhya",712,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=163087
"Srikanth, Smayan",1270,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=159142
"Sriram, Isha",1342,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=161203
"Sugumar, Shreyan",513,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=176665
"Sun, Dewei",1641,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=73714
"Sun, Tong",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=192568
"Thein, Myo",324,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=161662
"Vasan, Vidhyut",200,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=168309
"Vasu, Suvanth",192,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=192351
"Veera, Risha",105,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=182630
"Vyas, Zia",1008,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=170218
"Walia, Aarav",261,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=188055
"Wang, Evelyn",100,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=183026
"Wang Lee, Tim",1558,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=108763
"Wankawala, Prayag",147,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=182956
"Wong, Wilson",303,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=189908
"Yu, Yue",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=191449
"Zavala, Faith",0,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=189466
"Zhang, Sierra",1038,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=182678
"Zhao, Serena",1182,https://omnipong.com/T-tourney.asp?t=113&r=5679&h=&p=182936
