Winner Name,Winner Rating,Loser Name,Loser Rating,Event
Aarvi Pandya,1421,Ravi Epuri,1374,Under 1750 RR
Abhinav Kakarala,2060,Adelyn Pan,1598,Under 2050 RR
Abhinav Kakarala,2060,Henry Wu,1849,Under 2050 SE-Semis
Abhinav Kakarala,2060,Jiri Kripac,1589,Under 2050 RR
Abhinav Kakarala,2060,Joe Huang,1879,Under 2050 SE-Finals
Adelyn Pan,1598,Jiri Kripac,1589,Under 2050 RR
Adelyn Pan,1598,Prithvin Pratheep,1760,Under 2250 RR
Adiljan Ibrahim,0,Chebu Herrick,414,Under 1000 RR
Aditya Karanam,1657,Aarvi Pandya,1421,Under 1750 RR
Aditya Karanam,1657,Ravi Epuri,1374,Under 1750 RR
Aditya Karanam,1657,Vinay Nagaraj,1762,Under 1900 RR
Akash Tangri,1081,Ayaan Mohan,931,Under 1500 RR
Akash Tangri,1081,Daniel Thai,1399,Under 1500 SE-Semis
Akash Tangri,1081,Tate Sisemore,610,Under 1500 SE-Quarters
Akash Tangri,1081,Viraj Chauhan,1176,Under 1500 RR
Akash Tangri,1081,Xiao Qing Chen,0,Under 1500 RR
Arun Sharma,1750,Aarvi Pandya,1421,Under 1900 RR
Arun Sharma,1750,Ruhaan Pakala,1518,Under 2050 RR
Atharva Arvind,2044,Adelyn Pan,1598,Under 2250 SE-Quarters
Atharva Arvind,2044,Arun Sharma,1750,Under 2250 RR
Atharva Arvind,2044,Du Li,0,Open Singles RR
Atharva Arvind,2044,Emerson Lin,1682,Under 2250 RR
Atharva Arvind,2044,Terry Peng,2013,Under 2250 SE-Semis
Atharva Arvind,2044,Zekun Li,1726,Open Singles RR
Ayaan Mohan,931,Akash Tangri,1081,Under 1500 SE-Finals
Ayaan Mohan,931,Boping Lai,1118,Under 1250 SE-Semis
Ayaan Mohan,931,Brandon Lee,471,Under 1250 RR
Ayaan Mohan,931,Joshua Dang,801,Under 1250 RR
Ayaan Mohan,931,Ken Cai,793,Under 1250 SE-Quarters
Ayaan Mohan,931,Lehan Hu,364,Under 1250 RR
Ayaan Mohan,931,Rishaan Patel,551,Under 1500 SE-Quarters
Ayaan Mohan,931,Sara Wani,1255,Under 1500 SE-Semis
Ayaan Mohan,931,Viraj Chauhan,1176,Under 1500 RR
Ayaan Mohan,931,Xiao Qing Chen,0,Under 1500 RR
Ayaan Mohan,931,Yishuang Chen,1198,Under 1600 RR
Boping Lai,1118,Kashvi Shah,368,Under 1250 RR
Boping Lai,1118,Tate Sisemore,610,Under 1500 RR
Boping Lai,1118,Viraj Chauhan,1176,Under 1250 SE-Quarters
Brandon Lee,471,Jessie Lai,199,Under 1000 RR
Brandon Lee,471,Joshua Dang,801,Under 1250 RR
Brandon Lee,471,Lehan Hu,364,Under 1250 RR
Brandon Lee,471,Shelton Cai,439,Under 1000 RR
Brandon Lee,471,Tate Sisemore,610,Under 1000 SE-Quarters
