Winner Name,Winner Rating,Loser Name,Loser Rating,Event
Alex Luo,2529,Andrew Cao,2557,Men's Playoff 7th-10th-3rd/4th
Alex Luo,2529,Andrew Cao,2557,Men's Prelim RR
Alex Luo,2529,Nishant Lebaka,2561,Men's Playoff 3rd-6th-Prelims
Anav Gupta,2595,Andrew Cao,2557,Men's Playoff 7th-10th-Semis
Anav Gupta,2595,Kef Noorani,2537,Men's Playoff 3rd-6th-Prelims
Anav Gupta,2595,Ryan Lin,2495,Men's Prelim RR
Anav Gupta,2595,Shashin Shodhan,2299,Men's Prelim RR
Anav Gupta,2595,Xianyao He,2491,Men's Playoff 7th-10th-Finals
Andrew Cao,2557,Anav Gupta,2595,Men's Playoff for 1st & 2nd-Prelims
Daniel Tran,2613,Shashin Shodhan,2299,Men's Playoff for 1st & 2nd-Prelims
Daniel Tran,2613,Tanish Pendse,2418,Men's Prelim RR
Daniel Tran,2613,Xianyao He,2491,Men's Prelim RR
Hildy Chen,2334,Isabella Luo,2321,Women's Prelim RR
Hildy Chen,2334,Sophia Chen,2145,Women's Playoff for 1st & 2nd-Prelims
Hildy Chen,2334,Winnie Zhang,1423,Women's Playoff 11th-13th-Semis
Irene Yeoh,2444,Hildy Chen,2334,Women's Prelim RR
Irene Yeoh,2444,Isabella Luo,2321,Women's Prelim RR
Irene Yeoh,2444,Mandy Yu,2277,Women's Playoff 3rd-6th-Quarters
Irene Yeoh,2444,Mendy Wang,2407,Women's Playoff 3rd-6th-Semis
Irene Yeoh,2444,Satya Aspathi,2371,Women's Playoff 3rd-6th-Finals
Irene Yeoh,2444,Tashiya Piyadasa,2351,Women's Playoff for 1st & 2nd-Quarters
Isabella Luo,2321,Genelia William,2081,Women's Playoff 3rd-6th-Prelims
Isabella Luo,2321,Sophia Chen,2145,Women's Playoff 7th-10th-3rd/4th
Jessica Reyes-Lai,2413,Genelia William,2081,Women's Prelim RR
Jessica Reyes-Lai,2413,Irene Yeoh,2444,Women's Playoff for 1st & 2nd-Semis
Jessica Reyes-Lai,2413,Mandy Yu,2277,Women's Playoff for 1st & 2nd-Quarters
Jessica Reyes-Lai,2413,Satya Aspathi,2371,Women's Prelim RR
Jishan Liang,2685,Kef Noorani,2537,Men's Prelim RR
Jishan Liang,2685,Nishant Lebaka,2561,Men's Prelim RR
Jishan Liang,2685,Ryan Lin,2495,Men's Playoff for 1st & 2nd-Quarters
Jishan Liang,2685,Ved Sheth,2627,Men's Playoff for 1st & 2nd-Semis
Kef Noorani,2537,Nishant Lebaka,2561,Men's Playoff 11th-14th-Finals
Mandy Yu,2277,Isabella Luo,2321,Women's Playoff 7th-10th-Semis
Mandy Yu,2277,Tiffany Ke,2397,Women's Playoff for 1st & 2nd-Prelims
Mendy Wang,2407,Genelia William,2081,Women's Playoff for 1st & 2nd-Prelims
Mendy Wang,2407,Isabella Luo,2321,Women's Playoff 3rd-6th-Quarters
Mendy Wang,2407,Sophia Chen,2145,Women's Prelim RR
Mendy Wang,2407,Tiffany Ke,2397,Women's Playoff 3rd-6th-3rd/4th
Mendy Wang,2407,Tiffany Ke,2397,Women's Prelim RR
Mendy Wang,2407,Winnie Zhang,1423,Women's Prelim RR
Nandan Naresh,2650,Alex Luo,2529,Men's Prelim RR
Nandan Naresh,2650,Andrew Cao,2557,Men's Prelim RR
Nandan Naresh,2650,Jishan Liang,2685,Men's Playoff for 1st & 2nd-Finals
Nandan Naresh,2650,Nishant Lebaka,2561,Men's Playoff for 1st & 2nd-Quarters
Nandan Naresh,2650,Sid Naresh,2634,Men's Playoff for 1st & 2nd-Semis
Nishant Lebaka,2561,Kef Noorani,2537,Men's Prelim RR
Nishant Lebaka,2561,Shashin Shodhan,2299,Men's Playoff 11th-14th-Semis
Nishant Lebaka,2561,Xianyao He,2491,Men's Playoff for 1st & 2nd-Prelims
Ryan Lin,2495,Alex Luo,2529,Men's Playoff 3rd-6th-Quarters
Ryan Lin,2495,Alex Luo,2529,Men's Playoff for 1st & 2nd-Prelims
Ryan Lin,2495,Shashin Shodhan,2299,Men's Prelim RR
Ryan Lin,2495,Tanish Pendse,2418,Men's Playoff 3rd-6th-3rd/4th
Sally Moyland,2552,Hildy Chen,2334,Women's Playoff for 1st & 2nd-Quarters
