Player Name,Rating,Profile Link
"Aspathi, Satya",2371,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=182421
"Cao, Andrew",2557,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=96977
"Chen, Hildy",2334,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=168626
"Chen, Sophia",2145,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=109453
"Gupta, Anav",2595,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=94751
"He, Xianyao",2491,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=96419
"Ke, Tiffany",2397,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=81068
"Lebaka, Nishant",2561,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=106552
"Liang, Jishan",2685,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=78118
"Lin, Ryan",2495,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=102562
"Luo, Alex",2529,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=99074
"Luo, Isabella",2321,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=150859
"Moyland, Sally",2552,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=88890
"Naresh, Nandan",2650,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=76939
"Naresh, Sid",2634,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=76938
"Noorani, Kef",2537,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=107308
"Pendse, Tanish",2418,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=174326
"Piyadasa, Tashiya",2351,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=110201
"Reyes-Lai, Jessica",2413,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=171938
"Sheth, Ved",2627,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=81766
"Shodhan, Shashin",2299,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=59686
"Tran, Daniel",2613,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=83169
"Wang, Mendy",2407,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=78237
"William, Genelia",2081,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=103611
"Yeoh, Irene",2444,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=109009
"Yu, Mandy",2277,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=100100
"Zhang, Winnie",1423,https://omnipong.com/T-tourney.asp?t=109&r=4284&h=&p=163698
