Player Name,Rating,Profile Link
"Abenojar, Albert",1975,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=102174
"Arellano, Ronald",1968,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=11737
"Bui, Brian",1483,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=16154
"Cai, Sean",1206,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=175530
"Cao, Jason",1933,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=89753
"Cao, Qianhan",1480,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=184532
"Carland, Joe",1565,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=125553
"Chen, Joe",1494,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=110992
"Chen, Richard J.",1736,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=95932
"Chen, Ruzhang",1078,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=186250
"Chiu, Wenhua",1466,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=154535
"Choi, Kj",1420,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=164083
"Choy, Cayden",1589,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=178607
"Corpuz, Paul",2002,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=20800
"Crescitelli, Luis M.",1763,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=21104
"Ding, Xin",1654,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=161883
"Dole, Gina",2106,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=80737
"Fang, Raymond",1336,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=184090
"Farrokhi, Navid",1368,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=165182
"Flores, Aris",1688,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=77588
"Gao, Yuanzhi",1619,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=161248
"Gomes, Francisco",1598,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=148182
"Gong, Echo",1517,https://omnipong.com/T-tourney.asp?t=109&r=5587&h=&p=160872
