Player Name,Initial Rating,Adjusted Rating,Final Rating,Rating Change
Aadhav Madhuvanesh,1984,n/a,1961,-23
Aarav Patel,293,n/a,281,-12
Aarav Saravanan,86,n/a,90,4
Aarav Walia,108,n/a,130,22
Aarit Sriramu,1481,n/a,1491,10
Aaron Yang,140,n/a,175,35
Aarush Patel,0,131,146,146
Aarush Saravanan,95,n/a,109,14
Aaryash Kundu,304,n/a,255,-49
Abhinav Kakarala,1992,n/a,2024,32
Abivridh Ram,1935,n/a,1967,32
Adelyn Pan,1606,n/a,1604,-2
Adhwin Sasikumar,560,n/a,502,-58
Advik Garg,674,982,1035,361
Advik Pradhan,2003,n/a,1981,-22
Advit Sharma,0,200,197,197
Aimee Lee,87,n/a,87,0
Akash Ramani,163,n/a,140,-23
Akash Tangri,975,n/a,1027,52
Akio Fukuhara,2484,n/a,2503,19
Akshera Bomminayuni,468,555,622,154
Alden Liu,0,200,165,165
Aleecia Hui,1364,n/a,1243,-121
Alex Yang,253,n/a,250,-3
Alexander Rozhin,1609,n/a,1605,-4
Ali Afrakhteh,2176,n/a,2159,-17
Alice Chen,2025,n/a,2043,18
Amit Kumar,2173,n/a,2146,-27
Amritshyaam Gautam,1937,n/a,1982,45
Anagha Kasichainula,2207,n/a,2212,5
Anchit Nayak,1658,n/a,1658,0
Andrew Xu,809,n/a,856,47
Andy Liu,289,417,456,167
Anupama Ramanathan,232,n/a,278,46
Anyang Chen,1460,n/a,1443,-17
Arjith Athur,2146,n/a,2113,-33
Arjun Gulrajani,181,n/a,161,-20
Arun Sharma,1811,n/a,1748,-63
Arya Sreenevas,287,n/a,313,26
Ashwin Sounderarajan,1995,n/a,2011,16
Asif Makhani,1189,n/a,1099,-90
Austin Lo,2321,n/a,2327,6
Benjamin Lam,2170,n/a,2190,20
Benjamin Lo,2296,n/a,2319,23
Blandon Chen,2004,n/a,1981,-23
Brian Xin,0,146,159,159
Bryan Cheng,147,n/a,183,36
Christopher Boyea,1152,n/a,1182,30
Clarence Justine Ang Cruz,0,291,299,299
Clarice Ho,2018,n/a,1986,-32
Conner Chen,2041,n/a,1997,-44
Cyndi (xuxin) Zhang,1364,n/a,1414,50
Daniel Ho,2108,2173,2200,92
Daniel John Callejas,1473,n/a,1438,-35
Daniel Liu,0,200,170,170
Dariah Feng,2302,n/a,2302,0
Darshan Chalise,2051,n/a,2040,-11
Dattu Rao,1531,n/a,1514,-17
Derron Douglas,2304,n/a,2307,3
Devansh Bhattacharyya,1655,1741,1797,142
Dheetchana Pradhap,0,200,199,199
Dhruv Pothireddy,0,200,189,189
Diego Gallardo,2146,n/a,2182,36
Divya Chalise,1924,n/a,1856,-68
Diya Dillibabu,220,n/a,218,-2
Dylan Wang,1157,n/a,1255,98
Eason Wang,0,126,140,140
Elan Sen,1730,n/a,1677,-53
