Winner Name,Winner Rating,Loser Name,Loser Rating,Event
Aadhav Madhuvanesh,1984,Adelyn Pan,1606,Under 2350 RR
Aadhav Madhuvanesh,1984,Darshan Chalise,2051,Under 2200 RR
Aadhav Madhuvanesh,1984,Elan Sen,1730,Under 2200 RR
Aadhav Madhuvanesh,1984,Jiri Kripac,1651,Under 2050 RR
Aadhav Madhuvanesh,1984,Jonathan Wang,1746,Under 2050 RR
Aadhav Madhuvanesh,1984,Kevin Li,471,Mini Cadet Boys
Aadhav Madhuvanesh,1984,Olivia Yang,1685,Under 2200 RR
Aarav Patel,293,Krishna Noru,0,Under 600 RR
Aarav Patel,293,Mohammed Huzaifa Avaram,177,Under  450 RR
Aarav Patel,293,Nakshatra Balasubramanian,126,Under  450 RR
Aarav Saravanan,86,Ella Fei,134,Under 300 RR
Aarav Walia,108,Ella Fei,134,Under 150 RR
Aarav Walia,108,Nakshatra Balasubramanian,126,Under 150 SE-Prelims
Aarav Walia,108,Vivian Huynh,0,Under 150 RR
Aarit Sriramu,1481,Andrew Xu,809,Under 1600 RR
Aarit Sriramu,1481,Kayden Tang,1269,Under 1750 RR
Aarit Sriramu,1481,Longwen Hua,1497,Under 1600 RR
Aarit Sriramu,1481,Mark Cho,1468,Under 1600 SE-Prelims
Aaron Yang,140,Alden Liu,0,Under 150 RR
Aaron Yang,140,Arjun Gulrajani,181,Under 300 RR
Aaron Yang,140,Daniel Liu,0,Under 300 RR
Aaron Yang,140,Kaira Shah,100,Under 150 RR
Aarush Patel,0,Raymond Li,131,Under 150 RR
Aarush Patel,0,Shania Fong,112,Under 150 RR
Aarush Saravanan,95,Suchir Bhat,226,Under 300 RR
Aaryash Kundu,304,Kaiming Gu,0,Under 600 RR
Abhinav Kakarala,1992,Anchit Nayak,1658,Under 2050 RR
Abhinav Kakarala,1992,Divya Chalise,1924,Under 2050 SE-Prelims
Abhinav Kakarala,1992,Henry Wang,1800,Under 2200 RR
Abhinav Kakarala,1992,Indraneil Conjeevaram,1936,Cadet Boys
Abhinav Kakarala,1992,Indraneil Conjeevaram,1936,Under 2350 RR
Abhinav Kakarala,1992,Rhea Rao,1631,Under 2200 RR
Abhinav Kakarala,1992,Robert Shahnazari,2115,Under 2350 SE-Prelims
Abhinav Kakarala,1992,Shishir K Mahesh,1739,Under 2050 RR
Abhinav Kakarala,1992,Wen Chen,1821,Under 2050 SE-Quarters
Abivridh Ram,1935,Aadhav Madhuvanesh,1984,Under 2200 SE-Prelims
Abivridh Ram,1935,Blandon Chen,2004,Mini Cadet Boys
Abivridh Ram,1935,Conner Chen,2041,Under 2200 RR
Abivridh Ram,1935,Louis Liu,1529,Under 2050 RR
Abivridh Ram,1935,Paul Chang,1693,Under 2200 RR
Abivridh Ram,1935,Vihaan Raut,1444,Mini Cadet Boys
Advik Garg,674,Asif Makhani,1189,Under 1300 RR
Advik Garg,674,Kevin Li,471,Under 1300 RR
Advik Garg,674,Lawrence Chen,380,Under 1150 RR
Advik Garg,674,Lawrence Huang,1117,Under 1450 RR
Advik Garg,674,Nishaad Shendarkar,927,Under 1150 SE-Quarters
Advit Sharma,0,Srinandan Pasam,124,Under 300 RR
Akash Ramani,163,Aarav Walia,108,Under 300 RR
Akash Tangri,975,Akshera Bomminayuni,468,Under 1000 SE-Semis
Akash Tangri,975,Akshera Bomminayuni,468,Under 1150 SE-Quarters
Akash Tangri,975,Arya Sreenevas,287,Under 1000 RR
Akash Tangri,975,Ethan Hu,284,Under 1000 RR
Akash Tangri,975,Kevin Li,471,Under 1150 RR
Akash Tangri,975,Lawrence Chen,380,Under 1300 RR
Akash Tangri,975,Lawrence Huang,1117,Under 1150 SE-Semis
Akash Tangri,975,Lawrence Huang,1117,Under 1300 RR
Akash Tangri,975,Sara Wani,943,Under 1300 SE-Prelims
Akash Tangri,975,Sierra Zhang,291,Under 1150 RR
Akash Tangri,975,Zachary Shi,733,Under 1450 RR
Akio Fukuhara,2484,Arjith Athur,2146,Under 2500 RR
Akio Fukuhara,2484,Austin Lo,2321,Under 2500 SE-Quarters
Akio Fukuhara,2484,Jose Antony,1909,Open Singles
