Player Name,Rating,Profile Link
"Afrakhteh, Ali",2176,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=161261
"Agarwal, Kiaan",140,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=187270
"Alex, Ethan",291,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=182817
"Amatya, Pradyumna",1728,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=73683
"Anandikar, Siddharth",1213,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=173510
"Anchala, Sid Aaran",1237,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=184489
"Antony, Jose",1909,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=101133
"Athur, Arjith",2146,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=173988
"Avaram, Mohammed Huzaifa",177,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=189383
"Balamurugan, Tanisha",1738,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=161522
"Balasubramanian, Nakshatra",126,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=185251
"Banerjee, Sampurna",209,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=177884
"Barigidad, Rakshit",2575,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=176959
"Bellulli, Nikhil",247,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=185847
"Bellulli, Vikram",289,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=185848
"Bhaidasna, Praful",1902,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=14155
"Bhat, Suchir",226,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=179832
"Bhattacharyya, Devansh",1655,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=162459
"Bikkina, Kethan",989,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=171694
"Bikkina, Raghav",1817,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=149057
"Bomminayuni, Akshera",468,https://omnipong.com/T-tourney.asp?t=109&r=5200&h=&p=178848
