Winner Name,Winner Rating,Loser Name,Loser Rating,Event
Agam Toor,1141,Austin Vo,1065,Under 1250 SE-Semis
Agam Toor,1141,Brandon Shu,993,Under 1250 SE-Finals
Agam Toor,1141,Chanyoung Oh,1220,Under 1250 SE-Prelims
Agam Toor,1141,Enrico Benitez,1104,Under 1250 SE-Quarters
Agam Toor,1141,Isaac Chen,266,Under 1250 RR
Agam Toor,1141,Kerry Madden-Potts,907,Under 1250 RR
Agam Toor,1141,Midhun Mohandas,1206,Under 1500 RR
Agam Toor,1141,Peter Chan,1106,Under 1250 RR
Arun Mohan,1415,Enrico Benitez,1104,Under 1500 RR
Arun Mohan,1415,Manuel Valladares,1316,Under 1500 RR
Arun Mohan,1415,Zhidi Chong,1240,Under 1500 RR
Austin Vo,1065,Brandon Shu,993,Under 1075 SE-Semis
Austin Vo,1065,Brandon Shu,993,Under 1250 RR
Austin Vo,1065,Daniel Liu,987,Under 1075 SE-Quarters
Austin Vo,1065,Dong Kwan,1124,Under 1250 SE-Quarters
Austin Vo,1065,Freddy Chu,618,Under 1075 RR
Austin Vo,1065,Grace Hua,0,Under 1075 RR
Austin Vo,1065,Jaden Chen,1279,Under 1250 RR
Austin Vo,1065,Quoc Voong,862,Under 1075 RR
Austin Vo,1065,Xinyu Zou,0,Under 1250 RR
Brandon Shu,993,Dan Vo,0,Under 1075 RR
Brandon Shu,993,Isaac Chen,266,Under 1075 SE-Quarters
Brandon Shu,993,Jaden Chen,1279,Under 1250 RR
Brandon Shu,993,Midhun Mohandas,1206,Under 1250 SE-Quarters
Brandon Shu,993,Milo Lin,360,Under 1075 RR
Brandon Shu,993,Naarendharan Meenakshi Sunda,880,Under 1075 RR
Brandon Shu,993,Peter Chan,1106,Under 1250 SE-Prelims
Brandon Shu,993,Stanley Gene Frisbee,1150,Under 1250 SE-Semis
Brandon Shu,993,Xinyu Zou,0,Under 1250 RR
Bryan Ly,1314,Enrico Benitez,1104,Under 1650 RR
Bryan Ly,1314,Marc Angel Gabriel,1312,Under 1650 SE-Prelims
Bryan Ly,1314,Myron Lam,1095,Under 1500 RR
Bryan Ly,1314,Peter Li,1245,Under 1500 RR
Bryan Ly,1314,Yi-Li Wu,1423,Under 1500 RR
Bryan Ly,1314,Yufei Chen,1501,Under 1650 RR
Cayden Choy,1462,Enrico Benitez,1104,Under 2050 RR
Cayden Choy,1462,Jard Hsu,0,Under 1650 RR
Cayden Choy,1462,Jian Yao,1329,Under 1500 SE-Quarters
Cayden Choy,1462,Pengtao Li,1265,Under 1500 SE-Semis
Cayden Choy,1462,Pengtao Li,1265,Under 2050 RR
Cayden Choy,1462,Phil Chester,1284,Under 1500 SE-Prelims
Cayden Choy,1462,Suchart Sudhamma,1278,Under 1500 RR
Cayden Choy,1462,Weiyuan Gong,0,Under 1500 RR
Chanyoung Oh,1220,Fawwaz Sharabi,1352,Under 1500 RR
Chanyoung Oh,1220,Haoxi Yu,985,Under 1250 RR
Chanyoung Oh,1220,Mandy Kong,0,Under 1250 RR
Chanyoung Oh,1220,Stanley Gene Frisbee,1150,Under 1500 RR
Daniel Liu,987,Aaron Fan,250,Under 1075 RR
Daniel Liu,987,Eyal Amir,1100,Under 1250 RR
Daniel Liu,987,Han Shu,0,Under 1075 RR
Daniel Liu,987,Haoxi Yu,985,Under 1075 RR
Daniel Liu,987,Kazuo Mizukami,0,Under 1250 RR
Daniel Liu,987,Ryne Umemoto,848,Under 1075 SE-Prelims
Daniel-San Mengesha,1630,Bryan Ly,1314,Under 1650 SE-Quarters
Daniel-San Mengesha,1630,Fawwaz Sharabi,1352,Under 1650 RR
