Player Name,Rating,Profile Link
"Amir, Eyal",1100,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=186045
"Bai, Haoning (sarah)",1555,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=184068
"Benitez, Enrico",1104,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=154386
"Cao, Qianhan",1430,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=184532
"Chan, Peter",1106,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=7900
"Chang, Eric",1288,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=156958
"Chang, Jonathan",1618,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=100921
"Chen, Isaac",266,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=184825
"Chen, Jaden",1279,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=184826
"Chen, Yufei",1501,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=186054
"Chester, Phil",1284,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=171903
"Chong, Zhidi",1240,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=188079
"Chou, Hsu-Feng",1559,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=166641
"Choy, Cayden",1462,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=178607
"Chu, Freddy",618,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=184804
"Fan, Aaron",250,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=190537
"Frisbee, Stanley Gene",1150,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=26722
"Gabriel, Marc Angel",1312,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=182115
"Giramkar, Viaan",1396,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=186965
"Gong, Weiyuan",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=191210
"Hekmatniaz, Matthew",1126,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=95442
"Hsu, Jard",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=191358
"Hua, Grace",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=191280
"Huang, Kevin Wenjian",1505,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=190768
"Kambrath, Vinod",1646,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=95794
"Keshishian, Rouben",683,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=187589
"Khieu, Michael",1692,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=174235
"Kim, Jong Hoon",1487,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=152445
"Kim, Serena",989,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=179373
"Kong, Mandy",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=191294
"Kossakovski, Dmitri",1502,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=38010
"Kwan, Dong",1124,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=185760
"Lam, Myron",1095,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=187935
"Le, Dong",1801,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=97430
"Li, Pengtao",1265,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=185033
"Li, Peter",1245,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=98870
"Li, Yanni",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=191307
"Lin, Milly",1576,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=175451
"Lin, Milo",360,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=178112
"Lin, York",1451,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=155172
"Liu, Daniel",987,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=188596
"Lopez, Samuel Ellis",600,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=191068
"Ly, Bryan",1314,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=169037
"Madden-Potts, Kerry",907,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=171634
"Mai, Lam",1313,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=174417
"Meenakshi Sunda, Naarendharan",880,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=168579
"Mengesha, Daniel-San",1630,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=186471
"Mizukami, Kazuo",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=186370
"Mohan, Arun",1415,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=47108
"Mohandas, Midhun",1206,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=161644
"Naqvi, Syed A",1646,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=48483
"Oh, Chanyoung",1220,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=190242
"Qi, Jingwen",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=191368
"Rivera, Jeremy",1479,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=99537
"Rucinski, Michal",1475,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=183413
"Sharabi, Fawwaz",1352,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=162094
"Shen, Simon",1272,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=174429
"Shu, Brandon",993,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=184531
"Shu, Han",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=191245
"Sudhamma, Kiatsuda",888,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=148207
"Sudhamma, Suchart",1278,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=84580
"Sun, Patrick",1471,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=162868
"Toor, Agam",1141,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=186741
"Umemoto, Ryne",848,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=190582
"Valladares, Manuel",1316,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=175331
"Vang, David",1682,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=151794
"Vo, Austin",1065,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=190512
"Vo, Dan",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=190511
"Voong, Quoc",862,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=187054
"Wu, Haipeng",1400,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=174407
"Wu, Yi-Li",1423,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=188801
"Yang, Jimmy",1607,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=166978
"Yao, Jian",1329,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=187221
"Yossunthorn, Suvicha",1512,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=86393
"Yu, Haoxi",985,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=183192
"Zhang, Eric",1292,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=110040
"Zou, Xinyu",0,https://omnipong.com/T-tourney.asp?t=109&r=5600&h=&p=191199
