Winner Name,Winner Rating,Loser Name,Loser Rating,Event
Aadev Augustine Singh,263,Cedar Kao,126,U-300 SE-Quarters
Aadev Augustine Singh,263,Daniel Zhao,0,U-300 RR
Aadev Augustine Singh,263,Luke Xu,0,U-300 SE-Prelims
Aadev Augustine Singh,263,Michael Reznik,206,U-300 RR
Aarav Saravanan,86,Adrien Fita,164,U-600 RR
Aaron Tseng,1551,Danica Chen,1775,U-2050 RR
Aarvi Pandya,1487,Ethan Yang,1543,U-1600 RR
Aarvi Pandya,1487,Isha Kriti Padmarao,140,U-13 Girls
Aarvi Pandya,1487,Jonathan Sun,1155,U-1600 SE-Quarters
Aarvi Pandya,1487,Michael Kim,1079,U-1600 RR
Aarvi Pandya,1487,Ravi Epuri,1316,U-1600 RR
Abivridh Ram,1935,Adrien Fita,164,U-13 Boys
Abivridh Ram,1935,Blandon Chen,2004,U-13 Boys-Finals
Abivridh Ram,1935,Cylus Yim,1576,U-2050 SE-Quarters
Abivridh Ram,1935,Devansh Bhattacharyya,1655,U-2050 RR
Abivridh Ram,1935,Edson Yanaga,1824,U-2050 RR
Abivridh Ram,1935,Elan Sen,1730,U-13 Boys-Quarters
Abivridh Ram,1935,Enzo Yuen,1587,U-13 Boys
Abivridh Ram,1935,Felix Stephen,1953,U-13 Boys-Semis
Abivridh Ram,1935,Furas Ahmed,1721,U-2200 RR
Abivridh Ram,1935,Holly Huang,1871,U-2200 RR
Abivridh Ram,1935,Louis Liu,1529,U-2050 RR
Abivridh Ram,1935,Zachary Shi,733,U-13 Boys
Advik Krishna,264,Andrew Li,0,U-600 RR
Aimee Lee,87,Aarush Saravanan,95,U-600 RR
Aimee Lee,87,Andrew Li,0,U-450 RR
Aimee Lee,87,Erik Jiang,0,U-450 RR
Alex Ching,131,Adrien Fita,164,U-700 RR
Alex Ching,131,Aimee Lee,87,U-450 RR
Alex Ching,131,Andrew Li,0,U-450 RR
Alex Ching,131,Brian Li,0,U-300 RR
Alexander Li,1704,Elan Sen,1730,U-2050 RR
Alexander Li,1704,Joel Gousse,1299,U-2050 RR
Alexander Li,1704,Ravi Gawai,1567,U-2050 RR
Alexander Li,1704,Viet-Linh Do,1001,U-1900 RR
Alexander Rozhin,1609,Brian Yeh,1357,U-1900 RR
Alexander Rozhin,1609,Louis Liu,1529,U-1900 RR
Ali Afrakhteh,2176,Natalie Dong,2033,U-2450 RR
Ali Afrakhteh,2176,Shriraam Velayutham,2227,U-19 Boys
Anagha Kasichainula,2207,Atul Rathore,1618,Open Singles
Anagha Kasichainula,2207,Jose Antony,1909,Open Singles
Anagha Kasichainula,2207,Shishir Mahajan,1949,U-2450 RR
Andrew Xu,809,Aarav Saravanan,86,U-1000 RR
Andrew Xu,809,Boping Lai,1076,U-1300 RR
Andrew Xu,809,Boping Lai,1076,U-1300 SE-Finals
Andrew Xu,809,Christopher Boyea,1152,U-1200 RR
Andrew Xu,809,Haesung Hwang,826,U-1200 RR
Andrew Xu,809,Jonathan Sun,1155,U-1300 RR
Andrew Xu,809,Kyson Duan,988,U-1300 SE-Semis
Andrew Xu,809,Lawrence Chen,380,U-1200 SE-Finals
Andrew Xu,809,Matthew Chan,763,U-1300 RR
Andrew Xu,809,Mithran Sen,1001,U-1200 SE-Semis
Andrew Xu,809,Sampurna Banerjee,209,U-1000 RR
Andrew Xu,809,Terence He,676,U-1300 RR
Andy Chen,1151,Pranav Dileepan,885,U-1200 RR
Anirvin Alapati,1314,Prithvin Pratheep,1564,U-1750 RR
Anirvin Alapati,1314,Yash Kapoor,1523,U-1900 RR
Anthony Cavazos,1692,Anna Fita,1285,U-1900 RR
Anthony Cavazos,1692,Nikita Shamgunov,2064,U-2200 RR
Arkaprabho Ghosh,1385,Christopher Boyea,1152,U-1750 RR
Arsalan Afrakhteh,1793,Shishir Mahajan,1949,U-2350 RR
Arthur Zhou,2072,Atul Rathore,1618,U-2450 RR
Arthur Zhou,2072,Jose Antony,1909,U-2600 RR
Arthur Zhou,2072,Marvin Yu,2157,U-2350 SE-Prelims
Arthur Zhou,2072,Rachel Purwar,2051,U-2350 RR
Arthur Zhou,2072,Ravi Gawai,1567,U-2350 RR
Ashwin Sounderarajan,1995,Anthony Cavazos,1692,U-2050 RR
Ashwin Sounderarajan,1995,Daniel Aref,1874,U-2050 SE-Prelims
Ashwin Sounderarajan,1995,Jonathan Wang,1746,U-2050 RR
Ashwin Sounderarajan,1995,Lyla Stephen,1605,U-2200 RR
